selector,offset,request_hex,response_hex,payload_len,data_len,non_ff_bytes,non_ff_float_slots,first_float,second_float,class,prefix_hex
0,0,"00 01 04 56 00 00 00","01 00 38 56 00 00 00 BD 37 86 35 BD 37 06 36 9C 53 49 36 BD 37 86 36 AC C5 A7 36 9C 53 C9 36 8B E1 EA 36 BD 37 06 37 B5 FE 16 37 AC C5 27 37 A4 8C 38 37 9C 53 49 37 93 1A 5A 37",59,52,52,13,1.0E-6,2.0E-6,data,"BD 37 86 35 BD 37 06 36 9C 53 49 36 BD 37 86 36 AC C5 A7 36 ..."
0,13,"00 01 04 56 00 0D 00","01 00 38 56 00 00 0D 07 42 32 39 77 4E 33 39 E6 5A 34 39 55 67 35 39 C5 73 36 39 34 80 37 39 A4 8C 38 39 13 99 39 39 83 A5 3A 39 F2 B1 3B 39 62 BE 3C 39 D1 CA 3D 39 41 D7 3E 39",59,52,52,13,1.7E-4,1.71E-4,data,"07 42 32 39 77 4E 33 39 E6 5A 34 39 55 67 35 39 C5 73 36 39 ..."
0,16,"00 01 04 56 00 10 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,19,"00 01 04 56 00 13 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,20,"00 01 04 56 00 14 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,21,"00 01 04 56 00 15 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,22,"00 01 04 56 00 16 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,38,"00 01 04 56 00 26 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,39,"00 01 04 56 00 27 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,40,"00 01 04 56 00 28 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,41,"00 01 04 56 00 29 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,150,"00 01 04 56 00 96 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,157,"00 01 04 56 00 9D 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,158,"00 01 04 56 00 9E 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,177,"00 01 04 56 00 B1 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,195,"00 01 04 56 00 C3 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,196,"00 01 04 56 00 C4 00","NO RESPONSE",0,0,0,0,,,no_response,""
0,197,"00 01 04 56 00 C5 00","NO RESPONSE",0,0,0,0,,,no_response,""
