selector,offset,request_hex,response_hex,payload_len,data_len,non_ff_bytes,non_ff_float_slots,first_float,second_float,class,prefix_hex
0,0,"00 01 04 56 00 00 00","01 00 38 56 00 00 00 BE AE B5 38 28 F2 74 38 72 D8 65 B8 7A FB BB B8 E6 F1 B2 36 C0 CE C4 38 57 C1 45 38 3E AD 90 B8 9F D5 B5 B8 27 D7 B5 37 49 39 D3 38 CF 7D 10 38 EF A8 AF B8",59,52,52,13,8.663301E-5,5.839966E-5,data,"BE AE B5 38 28 F2 74 38 72 D8 65 B8 7A FB BB B8 E6 F1 B2 36 ..."
0,1,"00 01 04 56 00 01 00","01 00 38 56 00 00 01 8F F4 AC B8 48 E1 25 38 C0 8B E0 38 FA 08 A5 37 BA 1C D0 B8 DC 0E A0 B8 62 0C 79 38 D4 DA EB 38 72 A9 0F 36 02 C8 F1 B8 9A 7D 8D B8 9A CB AA 38 04 B1 F3 38",59,52,52,13,-8.247152E-5,3.9548875E-5,data,"8F F4 AC B8 48 E1 25 38 C0 8B E0 38 FA 08 A5 37 BA 1C D0 B8 ..."
0,2,"00 01 04 56 00 02 00","01 00 38 56 00 00 02 6B C4 9D B7 C7 EA 09 B9 9F B2 66 B8 81 DE DD 38 08 18 F6 38 2F 64 37 B8 0B 67 1A B9 F0 3E 1F B8 BC A1 0A 39 54 AD F0 38 BD 09 99 B8 A9 4A 29 B9 B4 7B 81 B7",59,52,52,13,-1.8807323E-5,-1.31528E-4,data,"6B C4 9D B7 C7 EA 09 B9 9F B2 66 B8 81 DE DD 38 08 18 F6 38 ..."
0,3,"00 01 04 56 00 03 00","01 00 38 56 00 00 03 C6 E5 27 39 5C C1 E0 38 6D AB DF B8 5F 39 35 B9 61 B7 60 37 84 C1 45 39 B5 80 C3 38 3B 89 17 B9 54 93 3C B9 5E F5 4D 38 C1 D5 62 39 60 25 96 38 C2 F0 42 B9",59,52,52,13,1.6011958E-4,1.0717168E-4,data,"C6 E5 27 39 5C C1 E0 38 6D AB DF B8 5F 39 35 B9 61 B7 60 37 ..."
0,4,"00 01 04 56 00 04 00","01 00 38 56 00 00 04 93 85 3D B9 10 DC C0 38 31 61 7D 39 C2 5C 2C 38 D1 E5 70 B9 48 20 36 B9 3E B9 14 39 35 A5 89 39 D5 74 4D 35 30 E2 8F B9 F0 71 24 B9 0F BA 4F 39 56 18 91 39",59,52,52,13,-1.8074205E-4,9.196263E-5,data,"93 85 3D B9 10 DC C0 38 31 61 7D 39 C2 5C 2C 38 D1 E5 70 B9 ..."
0,5,"00 01 04 56 00 05 00","01 00 38 56 00 00 05 77 B3 51 B8 F3 B5 A6 B9 82 A6 06 B9 97 1D 88 39 A2 C1 93 39 A4 7E E9 B8 D2 A3 BB B9 BC 52 B6 B8 89 36 AA 39 6D 4F 90 39 B3 BC 3F B9 52 2F CD B9 CA 21 03 B8",59,52,52,13,-4.9996623E-5,-3.179755E-4,data,"77 B3 51 B8 F3 B5 A6 B9 82 A6 06 B9 97 1D 88 39 A2 C1 93 39 ..."
0,6,"00 01 04 56 00 06 00","01 00 38 56 00 00 06 99 F1 CC 39 F3 77 85 39 C1 26 8A B9 99 B5 D9 B9 F7 A3 24 38 94 CC EE 39 02 19 64 39 33 50 B8 B9 BD 7C DF B9 B8 B1 02 39 0C 00 07 3A 9F 1B 2A 39 DD 10 E9 B9",59,52,52,13,3.9089916E-4,2.5457106E-4,data,"99 F1 CC 39 F3 77 85 39 C1 26 8A B9 99 B5 D9 B9 F7 A3 24 38 ..."
0,7,"00 01 04 56 00 07 00","01 00 38 56 00 00 07 50 C6 DC B9 C7 15 6B 39 56 45 14 3A E8 02 B7 38 E2 5E 0D BA 7E E4 CF B9 A9 5F B0 39 F4 1F 1E 3A 07 B3 07 B7 A2 A7 25 BA 12 51 B7 B9 49 97 F0 39 D1 6D 23 3A",59,52,52,13,-4.2109424E-4,2.2419459E-4,data,"50 C6 DC B9 C7 15 6B 39 56 45 14 3A E8 02 B7 38 E2 5E 0D BA ..."
0,8,"00 01 04 56 00 08 00","01 00 38 56 00 00 08 1A CA 01 B9 2A 35 3C BA 93 C5 91 B9 8F 3C 1A 3A 36 0C 23 3A 5F B2 87 B9 48 B7 4F BA 07 A7 3C B9 5D EA 3C 3A 63 E4 1B 3A 3F 9A D7 B9 68 C4 5E BA 00 DE 63 B8",59,52,52,13,-1.2377687E-4,-7.179553E-4,data,"1A CA 01 B9 2A 35 3C BA 93 C5 91 B9 8F 3C 1A 3A 36 0C 23 3A ..."
0,9,"00 01 04 56 00 09 00","01 00 38 56 00 00 09 03 04 5F 3A 28 F9 0C 3A 45 80 17 BA FD E4 67 BA 28 F0 CE 38 48 05 7F 3A D9 E9 EA 39 2D DA 45 BA B4 A0 69 BA BA B6 91 39 86 9F 8D 3A 80 6F A9 39 A4 78 75 BA",59,52,52,13,8.5073727E-4,5.3777033E-4,data,"03 04 5F 3A 28 F9 0C 3A 45 80 17 BA FD E4 67 BA 28 F0 CE 38 ..."
