selector,offset,request_hex,response_hex,payload_len,data_len,non_ff_bytes,non_ff_float_slots,first_float,second_float,class,prefix_hex
0,0,"00 01 04 56 00 00 00","01 00 38 56 00 00 00 AC C5 27 37 AC C5 A7 37 82 A8 FB 37 AC C5 27 38 17 B7 51 38 82 A8 7B 38 F7 CC 92 38 AC C5 A7 38 62 BE BC 38 17 B7 D1 38 CD AF E6 38 82 A8 FB 38 9C 50 08 39",59,52,52,13,1.0E-5,2.0E-5,data,"AC C5 27 37 AC C5 A7 37 82 A8 FB 37 AC C5 27 38 17 B7 51 38 ..."
0,1,"00 01 04 56 00 01 00","01 00 38 56 00 00 01 F7 CC 12 39 52 49 1D 39 AC C5 27 39 07 42 32 39 62 BE 3C 39 BD 3A 47 39 17 B7 51 39 72 33 5C 39 CD AF 66 39 28 2C 71 39 82 A8 7B 39 6F 12 83 39 9C 50 88 39",59,52,52,13,1.4E-4,1.5E-4,data,"F7 CC 12 39 52 49 1D 39 AC C5 27 39 07 42 32 39 62 BE 3C 39 ..."
0,2,"00 01 04 56 00 02 00","01 00 38 56 00 00 02 C9 8E 8D 39 F7 CC 92 39 24 0B 98 39 52 49 9D 39 7F 87 A2 39 AC C5 A7 39 DA 03 AD 39 07 42 B2 39 34 80 B7 39 62 BE BC 39 8F FC C1 39 BD 3A C7 39 EA 78 CC 39",59,52,52,13,2.7E-4,2.8E-4,data,"C9 8E 8D 39 F7 CC 92 39 24 0B 98 39 52 49 9D 39 7F 87 A2 39 ..."
0,13,"00 01 04 56 00 0D 00","01 00 38 56 00 00 0D 89 D2 DE 3A 14 22 E0 3A 9F 71 E1 3A 2B C1 E2 3A B6 10 E4 3A 42 60 E5 3A CD AF E6 3A 58 FF E7 3A E4 4E E9 3A 6F 9E EA 3A FA ED EB 3A 86 3D ED 3A 11 8D EE 3A",59,52,51,13,0.0017,0.00171,partial_data,"89 D2 DE 3A 14 22 E0 3A 9F 71 E1 3A 2B C1 E2 3A B6 10 E4 3A ..."
0,14,"00 01 04 56 00 0E 00","01 00 38 56 00 00 0E 9C DC EF 3A 28 2C F1 3A B3 7B F2 3A 3E CB F3 3A CA 1A F5 3A 55 6A F6 3A E0 B9 F7 3A 6C 09 F9 3A F7 58 FA 3A 82 A8 FB 3A 0E F8 FC 3A 99 47 FE 3A 24 97 FF 3A",59,52,51,13,0.00183,0.00184,partial_data,"9C DC EF 3A 28 2C F1 3A B3 7B F2 3A 3E CB F3 3A CA 1A F5 3A ..."
0,15,"00 01 04 56 00 0F 00","01 00 38 56 00 00 0F 58 73 00 3B 1E 1B 01 3B E3 C2 01 3B A9 6A 02 3B 6F 12 03 3B 34 BA 03 3B FA 61 04 3B C0 09 05 3B 85 B1 05 3B 4B 59 06 3B 11 01 07 3B D6 A8 07 3B 9C 50 08 3B",59,52,52,13,0.00196,0.00197,data,"58 73 00 3B 1E 1B 01 3B E3 C2 01 3B A9 6A 02 3B 6F 12 03 3B ..."
0,38,"00 01 04 56 00 26 00","01 00 38 56 00 00 26 9C 33 A2 3B 7F 87 A2 3B 62 DB A2 3B 45 2F A3 3B 27 83 A3 3B 0A D7 A3 3B ED 2A A4 3B D0 7E A4 3B B3 D2 A4 3B 96 26 A5 3B 78 7A A5 3B 5B CE A5 3B 3E 22 A6 3B",59,52,52,13,0.00495,0.00496,data,"9C 33 A2 3B 7F 87 A2 3B 62 DB A2 3B 45 2F A3 3B 27 83 A3 3B ..."
0,39,"00 01 04 56 00 27 00","01 00 38 56 00 00 27 21 76 A6 3B 04 CA A6 3B E7 1D A7 3B C9 71 A7 3B AC C5 A7 3B FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF",59,52,20,5,0.00508,0.00509,partial_data,"21 76 A6 3B 04 CA A6 3B E7 1D A7 3B C9 71 A7 3B AC C5 A7 3B ..."
0,40,"00 01 04 56 00 28 00","01 00 38 56 00 00 28 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF",59,52,0,0,,,ff_empty_or_unavailable,"FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ..."
0,41,"00 01 04 56 00 29 00","01 00 38 56 00 00 29 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF",59,52,0,0,,,ff_empty_or_unavailable,"FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ..."
